tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
CP,01h16m18.41s,19.076698,-20d57m11.8s,-20.953277,-115.432,0.067,-0.067,0.0,-249.177,0.049,-0.049,0.0,2458385.036312,0.000796,-0.000796,0,3.9934418,8.3e-06,-8.3e-06,0,1.9693065,0.1126487,-0.1126487,0,5801.8957159,256.10855,-256.10855,0,4.2556645,0.2432962,-0.2432962,0,28.2359721,,,,587.9229796,,,,11.7315,0.007,-0.007,0,64.6692,0.13825,-0.13825,0,3748.0,64.0,-64.0,0,4.7573,0.343554,-0.343554,0,0.523113,0.015618,-0.015618,0,2018-11-30 22:06:26,2023-03-03 12:03:04
FP,06h16m04.32s,94.017995,+15d16m14.4s,15.270666,0.159,0.067,-0.067,0.0,-4.647,0.06,-0.06,0.0,2459548.185346,0.001837,-0.001837,0,3.8454384,1.54e-05,-1.54e-05,0,4.736,0.183,-0.183,0,4590.0,1.44375,-1.44375,0,13.6848,1.0387,-1.0387,0,2030.9,,,,1870.0,,,,12.4432,0.022,-0.022,0,985.074,35.651,-35.651,0,6733.4,128.0,-128.0,0,3.98,0.1,-0.1,0,2.02,0.15,-0.15,0,2021-06-03 22:07:25,2024-08-22 10:08:01
APC,05h28m19.97s,82.08319,-19d37m17.39s,-19.621497,2.181,0.027,-0.027,0.0,3.082,0.039,-0.039,0.0,2459199.858678,0.001903,-0.001903,0,0.5993364,2.1e-06,-2.1e-06,0,1.024,0.162,-0.162,0,2180.0,5.61814,-5.61814,0,14.3367,1.08827,-1.08827,0,3334.9,,,,2117.0,,,,12.993,0.009,-0.009,0,1695.32,53.005,-53.005,0,6232.0,134.4,-134.4,0,3.62,0.09,-0.09,0,2.81,0.16,-0.16,0,2021-06-03 22:07:25,2024-08-22 10:08:01
FP,06h49m39.04s,102.412686,-00d29m45.52s,-0.495979,-3.087,0.046,-0.046,0.0,5.005,0.041,-0.041,0.0,2459210.630135,0.002742,-0.002742,0,3.7804749,1.99e-05,-1.99e-05,0,3.615,0.27,-0.27,0,22150.0,3092.58,-3092.58,0,17.9247,5.06178,-5.06178,0,835.088,,,,1497.0,,,,12.9127,0.006,-0.006,0,334.97,3.4945,-3.4945,0,5112.0,128.7,-128.7,0,4.56,0.09,-0.09,0,0.81,0.05,-0.05,0,2021-06-03 22:07:25,2024-08-22 10:08:01
FP,06h38m42.83s,99.678448,+02d25m51.82s,2.43106,0.085,0.058,-0.058,0.0,1.093,0.052,-0.052,0.0,2459224.225903,0.002546,-0.002546,0,2.9038027,1.38e-05,-1.38e-05,0,3.511,0.635,-0.635,0,5860.0,121.942,-121.942,0,13.4427,1.96279,-1.96279,0,5592.86,,,,2409.0,,,,12.4889,0.006,-0.006,0,736.602,19.6135,-19.6135,0,6570.0,317.3,-317.3,0,4.21,0.11,-0.11,0,1.51,0.08,-0.08,0,2021-06-03 22:07:26,2024-08-22 10:08:01
FP,05h31m30.83s,82.878464,+15d46m16.8s,15.771332,-3.812,0.07,-0.07,0.0,-6.652,0.049,-0.049,0.0,2459550.344183,0.001147,-0.001147,0,0.2573207,5e-07,-5e-07,0,0.629,0.123,-0.123,0,1330.0,8.2221,-8.2221,0,4.81101,0.444507,-0.444507,0,5062.7,,,,2349.0,,,,12.428,0.006,-0.006,0,392.4,5.2225,-5.2225,0,5784.0,638.4,-638.4,0,4.38,0.15,-0.15,0,1.09,0.06,-0.06,0,2021-06-03 22:07:27,2025-03-09 12:03:38
FP,06h21m54.08s,95.47532,-04d19m17.56s,-4.321544,-7.737,0.038,-0.038,0.0,-3.86,0.037,-0.037,0.0,2459209.022223,0.005905,-0.005905,0,3.0071496,3.9e-05,-3.9e-05,0,4.461,0.544,-0.544,0,3310.0,7.91566,-7.91566,0,8.05598,,,0,1939.81,,,,1848.0,,,,13.0632,0.019,-0.019,0,766.071,14.8115,-14.8115,0,5906.0,122.0,-122.0,0,4.14,,,0,1.45,,,0,2021-06-03 22:07:28,2024-08-22 10:08:01
CP,05h36m36.65s,84.152719,+00d53m46.6s,0.896279,2.64,0.104,-0.104,0.0,2.629,0.085,-0.085,0.0,2459189.97794,0.000652,-0.000652,0,4.808498,6.3e-06,-6.3e-06,0,1.405,0.244,-0.244,0,11010.0,10.9882,-10.9882,0,15.0839,1.65876,-1.65876,0,67.1926,,,,797.0,,,,11.916,0.022,-0.022,0,350.343,5.9195,-5.9195,0,5449.5,227.7,-227.7,0,4.13,0.12,-0.12,0,1.38,0.14,-0.14,0,2021-06-03 22:07:29,2024-08-22 10:08:01
CP,06h12m27.54s,93.11474,-23d29m32.99s,-23.492496,0.79,0.026,-0.026,0.0,11.877,0.041,-0.041,0.0,2459227.308665,0.00032,-0.00032,0,1.962292,1.4e-06,-1.4e-06,0,2.935,0.061,-0.061,0,20910.0,1.07258,-1.07258,0,17.4523,0.824429,-0.824429,0,2085.59,,,,1882.0,,,,12.0753,0.006,-0.006,0,494.818,6.562,-6.562,0,6384.0,128.7,-128.7,0,4.41,0.08,-0.08,0,1.16,0.05,-0.05,0,2021-06-03 22:07:30,2024-08-22 10:08:01
FP,09h28m25.73s,142.107198,-38d56m50.57s,-38.947381,-11.267,0.052,-0.052,0.0,7.382,0.055,-0.055,0.0,2459990.141393,0.004334,-0.004334,0,12.4498835,4.98e-05,-4.98e-05,0,5.45,1.484,-1.484,0,1827.0,2863.81,-2863.81,0,20.0559,5.50204,-5.50204,0,5588.85,,,,2408.0,,,,10.1015,0.006,-0.006,0,571.204,12.3015,-12.3015,0,8469.0,152.9,-152.9,0,3.96,0.07,-0.07,0,2.51,0.09,-0.09,0,2021-06-03 22:37:58,2023-04-12 16:02:02
FP,09h33m51.97s,143.466543,-42d42m53.55s,-42.714874,-13.459,0.044,-0.044,0.0,7.858,0.043,-0.043,0.0,2459302.160259,0.004036,-0.004036,0,5.5553784,3.48e-05,-3.48e-05,0,2.256,0.334,-0.334,0,1050.0,2.45627,-2.45627,0,13.2411,0.842573,-0.842573,0,564.535,,,,1357.0,,,,10.7217,0.007,-0.007,0,940.002,26.4515,-26.4515,0,8058.0,137.3,-137.3,0,3.57,0.08,-0.08,0,3.79,0.15,-0.15,0,2021-06-03 22:37:59,2021-10-29 12:59:15
FP,10h26m44.45s,156.685218,-38d02m31.89s,-38.042191,-20.457,0.035,-0.035,0.0,14.052,0.046,-0.046,0.0,2459302.065555,0.006056,-0.006056,0,3.0750728,3.3e-05,-3.3e-05,0,2.219,0.42,-0.42,0,510.0,1.893,-1.893,0,3.62818,0.274993,-0.274993,0,948.001,,,,1545.0,,,,9.6913,0.006,-0.006,0,241.582,1.9025,-1.9025,0,6888.0,131.8,-131.8,0,4.25,0.09,-0.09,0,1.52,0.06,-0.06,0,2021-06-03 22:37:59,2021-10-29 12:59:15
FP,07h53m23.46s,118.347733,-36d48m01.5s,-36.800418,18.914,0.028,-0.028,0.0,1.001,0.029,-0.029,0.0,2459964.260816,0.009068,-0.009068,0,3.059168,3.02e-05,-3.02e-05,0,4.992,0.448,-0.448,0,7610.0,1309.54,-1309.54,0,13.504,,,0,6509.45,,,,2502.0,,,,13.2864,0.006,-0.006,0,494.985,3.948,-3.948,0,5657.0,122.0,-122.0,0,4.37,,,0,1.08,,,0,2021-06-04 00:47:24,2024-08-22 10:08:01
CP,07h56m14.36s,119.059818,-35d07m00.16s,-35.11671,-6.104,0.038,-0.038,0.0,-9.017,0.043,-0.043,0.0,2459245.632019,0.000445,-0.000445,0,4.0397189,3.1e-06,-3.1e-06,0,3.655,0.061,-0.061,0,15110.0,0.895903,-0.895903,0,14.2282,0.634353,-0.634353,0,876.846,,,,1515.0,,,,11.3944,0.006,-0.006,0,312.674,2.249,-2.249,0,5758.5,127.9,-127.9,0,4.27,2.01,-2.01,0,1.14,0.05,-0.05,0,2021-06-04 00:47:24,2024-08-22 10:08:01
APC,07h19m08.13s,109.783871,+12d46m36.7s,12.776861,4.882,0.058,-0.058,0.0,-10.836,0.053,-0.053,0.0,2460236.732778,0.000967,-0.000967,0,4.3905983,0.0001447,-0.0001447,0,2.3792658,0.0730273,-0.0730273,0,8720.9304105,263.7681,-263.7681,0,25.8544805,8.15119,-8.15119,0,1634.3910274,,,,1621.6560323,,,,11.6805,0.007,-0.007,0,655.523,13.9135,-13.9135,0,5796.0,115.2,-115.2,0,4.12,0.07,-0.07,0,1.96701,0.0918994,-0.0918994,0,2021-06-04 00:47:24,2025-04-17 16:00:02
CP,04h20m57.19s,65.238307,-68d06m09.68s,-68.102688,22.028,0.039,-0.039,0.0,-10.401,0.043,-0.043,0.0,2460129.286313,0.007451,-0.007451,0,56.0045056,0.0002073,-0.0002073,0,10.4337079,0.207373,-0.207373,0,767.9192527,17.171547,-17.171547,0,4.6074444,0.2203692,-0.2203692,0,29.9535327,,,,596.6666471,,,,8.9387,0.006,-0.006,0,139.611,0.428,-0.428,0,6321.0,196.0,-196.0,0,4.22436,0.295755,-0.295755,0,1.41189,0.0640704,-0.0640704,0,2019-05-07 17:42:35,2023-11-16 16:02:02
FA,04h20m57.19s,65.238307,-68d06m09.68s,-68.102688,22.028,0.039,-0.039,0.0,-10.401,0.043,-0.043,0.0,2459044.82593,0.05923,-0.05923,0,31.32312,0.00354,-0.00354,0,1.541,0.807,-0.807,0,385.0,33.9627,-33.9627,0,2.00987,0.90968,-0.90968,0,15.1394,,,,549.0,,,,8.9387,0.006,-0.006,0,139.611,0.428,-0.428,0,6321.0,196.0,-196.0,0,4.22436,0.295755,-0.295755,0,1.41,0.06,-0.06,0,2018-12-20 17:40:26,2021-10-29 12:59:15
