flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
11291.366,5.646251,0,0.0010847322,963.4346112607149,845.9203221090231,1126,8892.856,4.432933,673.07495,0.4072719,11291.366,5.646251,0,,,,,963.4346112607149,0.00077113457,845.9203221090231,0.00082030596,-0.009557973,-0.012868566
11304.099,5.649537,0,0.0010854556,963.4337207025695,845.9198864922969,1127,8902.037,4.4338036,649.73145,0.4081489,11304.099,5.649537,0,,,,,963.4337207025695,0.00077076507,845.9198864922969,0.00081970345,-0.009335041,-0.012823635
11282.856,5.643685,0,0.001086179,963.4338018936978,845.9221494212495,1128,8885.755,4.43238,653.1496,0.40712833,11282.856,5.643685,0,,,,,963.4338018936978,0.0007707386,845.9221494212495,0.00082021573,-0.009264061,-0.012814169
11292.536,5.6452575,0,0.0010869023,963.4340632975693,845.9198484084454,1129,8893.358,4.433133,664.86334,0.40803707,11292.536,5.6452575,0,,,,,963.4340632975693,0.00077112723,845.9198484084454,0.0008201206,-0.009487284,-0.012983978
11290.952,5.643943,0,0.0010876256,963.4343379545339,845.9199912596895,1130,8891.726,4.4331264,656.50146,0.40761948,11290.952,5.643943,0,,,,,963.4343379545339,0.000771255,845.9199912596895,0.00082034926,-0.009216674,-0.012869681
11295.53,5.6448307,0,0.0010883488,963.4322725876566,845.9195054762995,1131,8894.865,4.433022,659.1237,0.40784967,11295.53,5.6448307,0,,,,,963.4322725876566,0.0007700769,845.9195054762995,0.0008189712,-0.009393654,-0.012548191
11298.183,5.6454535,0,0.001089072,963.4333312317306,845.9194658556723,1132,8896.777,4.433283,664.07623,0.4078416,11298.183,5.6454535,0,,,,,963.4333312317306,0.00077000645,845.9194658556723,0.0008188696,-0.009076073,-0.012563399
11289.743,5.643125,0,0.0010897951,963.4338963752103,845.9206033463608,1133,8889.1875,4.4326434,648.2582,0.4080017,11289.743,5.643125,0,,,,,963.4338963752103,0.00077067217,845.9206033463608,0.00081986125,-0.009170138,-0.012342414
11301.918,5.6427045,0,0.0010905183,963.4327402634987,845.919673432313,1134,8899.6875,4.4336176,659.14075,0.40793827,11301.918,5.6427045,0,,,,,963.4327402634987,0.0007699856,845.919673432313,0.00081879477,-0.009411363,-0.012740322
11284.39,5.6469545,0,0.0010912414,963.4323894522636,845.9192454320934,1135,8884.933,4.432351,658.2408,0.40759367,11284.39,5.6469545,0,,,,,963.4323894522636,0.0007709612,845.9192454320934,0.0008198371,-0.009155878,-0.012335388
11293.628,5.646237,8192,0.0010919643,963.4340275703655,845.919310211187,1136,8892.795,4.4331803,652.3876,0.4086435,11293.628,5.646237,8192,,,,,963.4340275703655,0.0007705177,845.919310211187,0.0008194248,-0.009294595,-0.012527431
