koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_depth_err2,koi_model_snr,koi_srad,koi_srad_err2,dec
CONFIRMED,1.0,0,0,0,0,37.0551726,-0.0002608,0.884,5.439,1028.8,-47.5,23.2,0.846,-0.078,42.657879
CONFIRMED,1.0,0,0,0,0,16.33269981,-7.767e-05,0.893,2.174,300.4,-19.3,17.5,0.772,-0.041,46.051971
CONFIRMED,1.0,0,0,0,0,10.05550267,-8.709e-05,0.061,2.951,147.7,-12.1,13.6,0.772,-0.041,46.051971
CONFIRMED,1.0,0,0,0,0,9.30413878,-2.541e-05,0.488,1.9254,637.3,-31.1,24.2,0.658,-0.061,41.221611
CONFIRMED,1.0,0,0,0,0,4.33722007,-7.588e-06,0.053,2.4973,358.5,-8.0,47.9,0.876,-0.058,44.295238
CONFIRMED,0.973,0,0,0,0,1.653889476,-5.107e-06,0.226,1.7242,124.4,-6.6,22.3,0.876,-0.058,44.295238
CONFIRMED,1.0,0,0,0,0,150.8783198,-0.0005029,0.022,8.6797,659.9,-10.8,70.6,1.737,-0.608,40.278629
CONFIRMED,1.0,0,0,0,0,3.553831111,-4.5e-06,0.74,3.1029,191.8,-2.7,77.4,1.081,-0.12,38.127468
CONFIRMED,1.0,0,0,0,0,1.6783263,-1.924e-06,0.91,2.5123,146.3,-2.2,76.1,1.081,-0.12,38.127468
CONFIRMED,1.0,0,0,0,0,5.65378163,-1.105e-05,0.439,1.9483,366.8,-11.4,37.8,0.934,-0.078,49.20874
CONFIRMED,1.0,0,0,0,0,5.99185827,-1.095e-05,0.905,1.7215,186.3,-6.9,32.1,1.695,-0.366,46.198421
CONFIRMED,0.978,0,0,0,0,120.0183551,-0.0006493,0.58,11.637,886.0,-21.6,46.1,1.467,-0.111,47.098221
CONFIRMED,1.0,0,0,0,0,14.30517579,-4.815e-05,0.924,4.535,863.4,-24.6,37.5,0.846,-0.079,48.61871
CONFIRMED,0.976,0,0,0,0,9.18189122,-6.36e-05,0.971,4.343,363.6,-22.6,18.2,0.846,-0.079,48.61871
CONFIRMED,1.0,0,0,0,0,2.935362067,-5.061e-06,0.86,1.5043,1052.6,-32.2,38.0,0.823,-0.085,41.282429
CONFIRMED,0.999,0,0,0,0,13.53953595,-8.81e-05,0.219,4.389,134.2,-7.2,21.8,1.997,-0.485,41.575211
CONFIRMED,1.0,0,0,0,0,22.7082375,-0.0001019,0.032,3.503,298.8,-15.8,22.0,0.992,-0.112,45.204311
CONFIRMED,0.996,0,0,0,0,7.97033985,-3.502e-05,0.107,2.6675,490.8,-23.8,23.5,0.818,-0.066,43.364071
FALSE POSITIVE,0.0,0,0,1,0,5.33459393,-3.536e-05,0.158,2.642,226.3,-18.2,14.7,0.533,-0.059,41.46701
CONFIRMED,1.0,0,0,0,0,8.49640437,-2.908e-05,0.628,2.2128,834.0,-44.5,21.8,0.709,-0.065,40.852982
CONFIRMED,0.998,0,0,0,0,66.1843646,-0.0004536,0.877,5.155,560.5,-30.0,21.3,0.978,-0.073,43.910809
CONFIRMED,1.0,0,0,0,0,2.032318856,-4.589e-06,0.009,1.1596,287.5,-18.4,20.4,0.682,-0.021,42.59071
CONFIRMED,0.997,0,0,0,0,3.62275506,-1.499e-05,0.007,2.7868,180.6,-9.2,22.3,1.216,-0.183,41.730209
CONFIRMED,0.998,0,0,0,0,2.892216772,-7.009e-06,0.806,1.3596,360.5,-18.3,23.9,0.615,-0.031,45.969501
CONFIRMED,0.996,0,0,0,0,187.746606,-0.00146,0.015,5.885,1583.0,-90.1,20.2,0.753,-0.076,42.596409
CONFIRMED,0.999,0,0,0,0,2.543063763,-9.212e-06,0.215,2.8473,152.0,-6.4,26.5,1.029,-0.114,43.232792
CONFIRMED,1.0,0,0,0,0,3.177414601,-1.587e-06,0.786,1.5262,1134.3,-12.1,113.7,0.708,-0.051,39.678001
CONFIRMED,1.0,0,0,0,0,2.168451063,-2.811e-06,0.207,1.458,466.9,-12.3,45.5,1.109,-0.157,48.277168
CONFIRMED,0.999,0,0,0,0,37.8154157,-0.0002667,0.533,4.662,286.4,-14.2,22.4,0.705,-0.025,49.981628
CONFIRMED,0.0,0,0,0,0,53.5783052,-0.0004684,0.769,5.194,224.9,-15.8,15.4,0.705,-0.025,49.981628
CONFIRMED,0.993,0,0,0,0,33.1362861,-0.0002392,0.791,4.163,825.2,-54.0,16.3,0.637,-0.032,44.141399
CONFIRMED,0.993,0,0,0,0,7.72513619,-5.341e-05,0.954,2.042,382.2,-43.4,10.5,0.637,-0.032,44.141399
CONFIRMED,1.0,0,0,0,0,10.71253475,-3.804e-05,0.72,2.7186,1198.6,-43.0,31.2,0.544,-0.029,45.440639
CONFIRMED,1.0,0,0,0,0,32.5635249,-0.0002369,0.371,5.418,578.3,-26.5,24.1,0.859,-0.051,45.434109
CONFIRMED,1.0,0,0,0,0,12.19140405,-4.507e-05,0.091,1.8832,665.8,-40.7,19.4,0.967,-0.161,43.98497
CONFIRMED,1.0,0,0,0,0,6.11784972,-2.782e-05,0.391,3.458,60.5,-2.8,25.8,1.333,-0.195,50.03009
CONFIRMED,0.997,0,0,0,0,3.97599629,-1.137e-05,0.331,2.2029,206.0,-8.7,27.3,0.778,-0.04,38.894508
CONFIRMED,1.0,0,0,0,0,7.68478504,-3.077e-05,0.045,2.447,274.1,-14.7,21.4,0.907,-0.066,44.838249
FALSE POSITIVE,0.013,0,0,1,0,0.990516282,-2.976e-06,0.989,2.019,101.6,-6.6,20.4,2.399,-1.36,47.20256
CONFIRMED,1.0,0,0,0,0,15.0447098,-0.0001181,0.022,5.823,97.9,-4.9,23.4,1.525,-0.378,47.24704
CONFIRMED,0.999,0,0,0,0,1.118547814,-3.233e-06,0.221,1.5534,234.8,-13.0,21.7,0.658,-0.043,44.129261
CONFIRMED,1.0,0,0,0,0,6.42199919,-2.499e-05,0.281,2.6192,161.6,-7.4,25.4,0.981,-0.055,44.087379
CONFIRMED,1.0,0,0,0,0,9.75374033,-4.46e-05,0.295,2.348,430.8,-26.9,18.9,0.899,-0.082,50.427052
CONFIRMED,0.979,0,0,0,0,81.3153052,-0.0009352,0.013,5.807,715.5,-39.6,20.7,0.975,-0.126,45.671261
CONFIRMED,0.998,0,0,0,0,51.3283527,-0.0003026,0.582,9.357,692.3,-22.9,34.7,1.119,-0.175,48.066502
CONFIRMED,1.0,0,0,0,0,19.7919389,-0.0001144,0.954,3.787,383.7,-18.8,22.8,1.039,-0.116,49.452389
CONFIRMED,0.989,0,0,0,0,26.8475962,-0.0001572,0.457,10.068,254.1,-7.1,39.2,1.988,-0.51,45.387932
CONFIRMED,1.0,0,0,0,0,62.8917493,-0.0004637,0.632,6.831,791.0,-40.0,22.6,0.855,-0.072,48.423931
CONFIRMED,0.998,0,0,0,0,14.87149773,-4.901e-05,0.018,2.4076,944.9,-37.6,27.3,0.524,-0.034,47.908459
CONFIRMED,0.992,0,0,0,0,2.732767897,-5.914e-06,0.748,1.1102,613.1,-27.2,27.0,0.524,-0.034,47.908459
FALSE POSITIVE,0.0,0,1,0,0,119.8401019,-0.0001677,1.269,3.6796,5448.7,-76.3,83.7,0.675,-0.024,39.190731
CONFIRMED,1.0,0,0,0,0,9.61375316,-1.143e-05,0.604,4.654,797.9,-8.4,108.6,1.11,-0.178,44.518749
CONFIRMED,0.962,0,0,0,0,29.9685917,-0.0001741,0.282,6.678,309.5,-12.2,26.5,1.076,-0.112,44.708302
CONFIRMED,0.999,0,0,0,0,33.2407985,-0.0002787,0.231,4.675,341.9,-18.3,20.4,0.827,-0.028,50.902851
FALSE POSITIVE,0.0,0,0,1,1,2.97600846,-2.549e-05,0.715,4.274,103.2,-5.1,25.9,2.088,-0.931,38.491184
CONFIRMED,0.991,0,0,0,0,15.18727049,-8.664e-05,0.839,4.509,292.5,-15.6,21.4,1.005,-0.13,40.833172
CONFIRMED,0.999,0,0,0,0,28.6853212,-0.0002024,0.922,6.307,689.1,-31.8,23.8,0.838,-0.071,44.653252
CONFIRMED,0.15,0,0,0,0,0.588001053,-5.82e-07,0.403,1.1451,297.4,-7.4,50.9,0.57,-0.037,44.178131
CONFIRMED,0.99,0,0,0,0,85.7357202,-0.0008312,0.033,7.625,747.7,-40.3,20.8,1.077,-0.143,42.498131
CONFIRMED,1.0,0,0,0,0,1.078389713,-2.588e-06,0.846,1.3394,300.5,-15.5,23.6,0.985,-0.161,41.515049
CONFIRMED,0.998,0,0,0,0,5.03728033,-1.566e-05,0.96,2.0619,76.3,-4.3,20.9,1.381,-0.156,49.33102
CONFIRMED,1.0,0,0,0,0,3.289726319,-8.626e-06,0.052,2.3274,234.9,-9.9,27.0,0.91,-0.055,44.781551
CONFIRMED,1.0,0,0,0,0,7.18644594,-1.933e-05,0.892,1.4972,402.0,-20.4,23.8,0.91,-0.055,44.781551
CONFIRMED,1.0,0,0,0,0,15.94248453,-5.985e-05,0.022,3.4894,1093.7,-34.7,34.3,0.806,-0.067,42.779701
CONFIRMED,1.0,0,0,0,0,41.0081117,-0.000118,0.878,4.376,1004.5,-24.3,43.9,0.708,-0.051,39.678001
CONFIRMED,0.99,0,0,0,0,11.55562042,-3.102e-05,0.874,1.6758,441.5,-22.7,22.7,0.85,-0.034,42.86747
CONFIRMED,1.0,0,0,0,0,12.2885046,-0.0001092,0.632,2.807,342.1,-33.7,12.0,1.671,-0.947,44.672211
CONFIRMED,0.969,0,0,0,0,17.13263125,-7.892e-05,0.298,3.0555,850.2,-37.4,26.4,0.794,-0.075,42.478298
CONFIRMED,1.0,0,0,0,0,19.0231361,-0.0001151,0.698,3.431,401.6,-21.5,19.7,0.954,-0.069,40.916309
CONFIRMED,1.0,0,0,0,0,4.57948235,-2.886e-05,0.055,3.106,207.1,-12.0,20.0,0.954,-0.069,40.916309
CONFIRMED,1.0,0,0,0,0,1.003931703,-2.686e-06,0.023,1.4361,491.1,-23.8,25.2,0.741,-0.079,47.694031
FALSE POSITIVE,0.0,0,1,1,0,0.614083885,-8.17e-07,0.106,0.9817,389.5,-13.9,36.4,1.276,-0.16,49.997379
CONFIRMED,0.998,0,0,0,0,55.8224775,-0.00041,0.031,5.457,879.6,-42.6,23.7,0.736,-0.065,47.455441
CONFIRMED,0.999,0,0,0,0,6.11010439,-4.64e-05,0.284,2.314,59.7,-5.9,11.8,1.195,-0.068,46.491459
CONFIRMED,0.007,0,0,0,0,4.286866229,-3.232e-06,0.757,4.4726,1321.9,-9.9,167.3,1.049,-0.111,43.860199
CONFIRMED,1.0,0,0,0,0,10.27380957,-5.929e-05,0.125,3.252,352.8,-20.5,19.2,0.899,-0.045,37.320808
CONFIRMED,1.0,0,0,0,0,13.39155154,-5.939e-05,0.539,3.391,48.9,-2.2,24.5,2.188,-0.576,43.831078
CONFIRMED,1.0,0,0,0,0,5.62904396,-2.165e-05,0.237,3.7295,39.5,-1.4,32.2,2.188,-0.576,43.831078
CONFIRMED,1.0,0,0,0,0,8.2562857,-3.697e-05,0.816,2.0378,37.3,-2.3,18.2,2.188,-0.576,43.831078
CONFIRMED,1.0,0,0,0,0,12.33087921,-4.972e-05,0.011,3.0664,872.2,-33.5,28.3,0.806,-0.067,42.779701
CONFIRMED,1.0,0,0,0,0,4.421566535,-9.726e-06,0.869,2.1229,684.0,-25.3,31.9,0.697,-0.032,42.45491
CONFIRMED,0.999,0,0,0,0,15.72585941,-6.277e-05,0.122,3.8284,1313.1,-46.3,32.7,0.755,-0.032,46.166439
CONFIRMED,1.0,0,0,0,0,1.252753881,-2.228e-06,0.4,2.1472,200.0,-5.7,40.5,1.705,-0.392,44.062538
CONFIRMED,1.0,0,0,0,0,13.36019864,-5.956e-05,0.534,2.788,699.9,-37.5,21.3,0.688,-0.04,39.269958
CONFIRMED,0.978,0,0,0,0,76.957056,-0.0006256,0.638,9.551,367.1,-15.8,26.5,1.041,-0.187,44.756592
CONFIRMED,1.0,0,0,0,0,8.84784273,-3.369e-05,0.047,2.0572,460.2,-25.8,21.1,0.552,-0.033,40.898998
CONFIRMED,0.999,0,0,0,0,9.98970266,-4.169e-05,0.005,3.7,988.4,-46.4,24.1,0.81,-0.059,43.779671
CONFIRMED,1.0,0,0,0,0,5.63252508,-6.005e-06,0.455,2.1448,634.4,-10.3,70.9,0.804,-0.061,43.915211
CONFIRMED,1.0,0,0,0,0,1.442592305,-4.874e-06,0.207,2.9698,166.0,-7.1,27.1,2.043,-0.697,38.591572
CONFIRMED,0.997,0,0,0,0,14.17222858,-5.555e-05,0.869,2.6297,246.8,-11.0,24.5,1.314,-0.256,38.410389
CONFIRMED,0.991,0,0,0,0,4.92031063,-3.082e-05,0.242,4.046,81.0,-5.2,17.7,1.314,-0.256,38.410389
CONFIRMED,0.973,0,0,0,0,56.4931698,-0.0003626,0.707,8.704,411.9,-14.9,31.8,2.046,-0.527,40.979061
CONFIRMED,1.0,0,0,0,0,13.82142084,-2.223e-05,0.904,3.985,765.2,-10.8,75.3,0.651,-0.024,49.064911
FALSE POSITIVE,0.006,0,0,1,0,2.30367952,-1.307e-05,0.964,3.0898,136.4,-8.1,18.9,0.865,-0.064,43.168961
CONFIRMED,1.0,0,0,0,0,5.78387049,-1.538e-05,0.227,1.3966,413.3,-23.7,20.7,1.012,-0.101,49.589119
CONFIRMED,0.997,0,0,0,0,11.08507658,-5.149e-05,0.819,1.751,771.8,-51.1,17.7,0.793,-0.073,44.555729
CONFIRMED,1.0,0,0,0,0,0.571038347,-6.84e-07,0.876,1.1267,242.1,-7.5,38.2,0.886,-0.083,39.14167
CONFIRMED,1.0,0,0,0,0,8.77425786,-2.931e-05,0.917,2.2245,239.6,-12.6,22.3,0.905,-0.111,39.933849
CONFIRMED,0.0,0,0,0,0,4.51005082,-1.529e-05,0.115,2.1533,294.8,-16.1,21.5,1.032,-0.142,45.985142
CONFIRMED,1.0,0,0,0,0,37.6468519,-0.000227,0.008,6.344,427.4,-15.8,31.0,2.652,-0.939,39.396629
CONFIRMED,1.0,0,0,0,0,29.4557841,-0.0001187,0.018,3.451,533.8,-23.0,26.6,0.949,-0.097,44.60561
CONFIRMED,1.0,0,0,0,0,12.466004437,-5.544e-06,0.209,5.0066,2232.1,-8.1,304.6,1.191,-0.189,39.949108
CONFIRMED,1.0,0,0,0,0,2.361724472,-3.492e-06,0.009,1.2167,587.0,-19.9,34.6,0.651,-0.061,44.245811
CONFIRMED,0.991,0,0,0,0,34.7630543,-0.0002132,0.731,4.309,293.7,-13.2,24.0,0.95,-0.124,38.657581
CONFIRMED,0.998,0,0,0,0,20.0545282,-0.0001496,0.939,7.173,305.4,-11.8,26.9,1.209,-0.134,49.258949
CONFIRMED,1.0,0,0,0,0,3.17059731,-1.001e-05,0.793,1.6686,325.4,-19.3,20.1,0.843,-0.033,48.307301
CONFIRMED,1.0,0,0,0,0,27.0142622,-0.0001497,0.009,5.385,287.6,-12.1,25.5,1.184,-0.165,38.735691
CONFIRMED,0.998,0,0,0,0,12.50945798,-7.469e-05,0.626,3.479,155.3,-10.8,16.0,1.184,-0.165,38.735691
CONFIRMED,1.0,0,0,0,0,26.0203329,-0.0001869,0.704,4.965,1164.4,-55.7,23.7,1.244,-0.24,37.766602
CONFIRMED,0.995,0,0,0,0,0.769854899,-1.243e-06,0.705,1.0243,109.6,-4.9,28.7,0.822,-0.063,45.663551
CONFIRMED,1.0,0,0,0,0,6.89226333,-2.626e-05,0.061,2.4921,214.4,-11.1,22.4,1.463,-0.284,42.298908
CONFIRMED,0.999,0,0,0,0,8.07127043,-5.172e-05,0.271,2.393,318.2,-22.3,16.9,0.853,-0.079,48.21936
CONFIRMED,1.0,0,0,0,0,11.01819178,-7.244e-05,0.883,4.635,545.7,-26.8,22.0,0.969,-0.1,40.85696
CONFIRMED,0.982,0,0,0,0,30.9505927,-0.0002187,0.958,5.394,301.4,-14.2,23.2,0.651,-0.024,49.064911
FALSE POSITIVE,0.0,0,1,1,0,3.979867514,-4.366e-06,1.216,2.3607,907.6,-16.8,65.2,0.973,-0.105,40.794842
CONFIRMED,1.0,0,0,0,0,23.3593589,-0.0001278,0.94,5.389,570.1,-24.5,25.9,1.009,-0.112,45.968288
CONFIRMED,1.0,0,0,0,0,9.69310837,-3.035e-05,0.534,2.734,1130.7,-40.6,30.4,0.618,-0.054,38.6227
FALSE POSITIVE,0.0,0,1,1,0,24.2598301,-0.0001329,1.244,3.897,1540.3,-72.0,26.3,0.805,-0.075,42.580631
FALSE POSITIVE,0.0,0,1,0,0,116.5214317,-0.0007039,1.26,5.577,771.5,-36.2,25.0,1.411,-0.277,37.552521
CONFIRMED,1.0,0,0,0,0,0.813166357,-1.399e-06,0.06,1.4122,173.5,-6.2,34.8,0.887,-0.049,39.230572
CONFIRMED,0.989,0,0,0,0,10.86062378,-3.956e-05,0.261,2.2874,189.6,-10.6,20.7,1.496,-0.421,44.52729
CONFIRMED,1.0,0,0,0,0,24.08632177,-9.922e-05,0.802,2.236,1041.7,-69.1,18.0,0.768,-0.079,46.946449
FALSE POSITIVE,0.0,0,1,1,0,17.40208965,-9.227e-05,1.216,3.745,616.5,-34.9,20.9,0.615,-0.029,47.21257
CONFIRMED,1.0,0,0,0,0,37.9456138,-0.0002107,0.263,4.093,1032.9,-49.3,24.0,0.865,-0.07,46.812889
FALSE POSITIVE,0.0,1,0,0,0,1.141877248,-6.6e-08,0.598,4.33931,309490.0,-177.0,2036.3,1.368,-0.398,38.904911
FALSE POSITIVE,0.0,0,1,1,1,5.77675928,-1.478e-05,1.272,6.789,3522.5,-0.3,141.4,0.875,-0.149,44.420349
CONFIRMED,1.0,0,0,0,0,24.1738244,-0.0001243,0.251,3.056,532.6,-28.7,21.5,0.968,-0.084,45.274158
CONFIRMED,1.0,0,0,0,0,5.186737262,-7.369e-06,0.825,0.8023,712.7,-39.9,25.7,0.777,-0.056,51.498421
CONFIRMED,1.0,0,0,0,0,1.217000383,-2.865e-06,0.028,1.3285,459.8,-21.6,26.5,0.757,-0.072,49.791142
CONFIRMED,0.997,0,0,0,0,13.6823798,-0.0001059,0.595,4.153,179.6,-12.2,17.0,1.026,-0.125,49.35899
CONFIRMED,1.0,0,0,0,0,8.79618433,-3.07e-05,0.05,3.3781,286.3,-12.0,27.0,1.046,-0.102,45.81274
CONFIRMED,1.0,0,0,0,0,16.85592593,-6.43e-05,0.038,2.309,871.5,-51.9,19.5,0.587,-0.035,37.5289
CONFIRMED,1.0,0,0,0,0,14.36270451,-6.904e-05,0.272,4.564,349.4,-15.1,26.8,1.216,-0.15,47.751492
CONFIRMED,0.999,0,0,0,0,69.8956789,-0.0005243,0.872,5.276,548.4,-28.7,21.9,1.104,-0.185,46.371712
CONFIRMED,0.059,0,0,0,0,6.24667547,-2.787e-05,0.877,11.261,396.8,-7.1,63.6,6.221,-0.509,44.11673
CONFIRMED,1.0,0,0,0,0,2.344512589,-5.694e-06,0.803,1.4116,58.9,-3.2,21.9,1.132,-0.151,47.725887
CONFIRMED,1.0,0,0,0,0,5.766165573,-7.619e-06,0.017,3.8314,364.8,-5.9,65.6,1.191,-0.189,39.949108
CONFIRMED,0.988,0,0,0,0,18.3027235,-0.0001492,0.742,8.262,186.7,-8.3,24.7,1.839,-0.293,44.082329
CONFIRMED,0.999,0,0,0,0,2.888904439,-7.104e-06,0.77,1.6043,402.2,-19.8,23.7,0.759,-0.03,39.289688
CONFIRMED,1.0,0,0,0,0,17.14648756,-8.658e-05,0.918,4.2354,440.3,-17.9,28.3,1.412,-0.324,47.25798
CONFIRMED,0.199,0,0,0,0,16.09227518,-6.165e-05,0.932,2.1072,128.5,-8.0,18.1,0.67,-0.017,46.438641
CONFIRMED,0.944,0,0,0,0,62.7843981,-0.0004231,0.272,4.81,325.0,-16.4,21.1,1.26,-0.177,38.945831
CONFIRMED,0.97,0,0,0,0,91.500873,-0.0005231,0.032,4.842,704.8,-35.8,22.6,0.706,-0.03,50.698929
CONFIRMED,0.985,0,0,0,0,44.2993483,-0.0002664,0.614,4.298,797.9,-38.7,23.2,0.915,-0.074,44.478008
CONFIRMED,0.999,0,0,0,0,3.13877646,-1.164e-05,0.436,1.6663,174.1,-10.3,20.2,0.722,-0.078,43.732182
CONFIRMED,0.998,0,0,0,0,35.9682692,-0.0001496,0.883,2.839,269.7,-14.4,21.0,1.529,-0.313,49.579441
CONFIRMED,0.998,0,0,0,0,25.3690868,-0.0001467,0.845,4.746,110.1,-5.8,21.6,1.406,-0.238,49.154789
CONFIRMED,0.999,0,0,0,0,6.89213244,-3.308e-05,0.541,1.725,82.0,-6.0,17.3,1.446,-0.203,45.410301
CONFIRMED,0.912,0,0,0,0,42.3006282,-0.0002167,0.269,4.372,507.9,-24.9,23.8,1.129,-0.119,39.33884
FALSE POSITIVE,0.0,0,1,0,0,0.838597429,-1.45e-07,1.274,1.68668,2482.1,-10.2,303.7,1.236,-0.082,41.074711
CONFIRMED,0.979,0,0,0,0,55.1866213,-0.0003462,0.225,9.133,375.5,-10.9,36.2,1.267,-0.178,46.74115
FALSE POSITIVE,0.0,0,0,1,1,1.728528176,-8.644e-06,0.787,3.682,197.6,-8.6,26.2,3.279,-1.9,40.410225
CONFIRMED,0.997,0,0,0,0,14.97436238,-4.734e-05,0.092,2.4461,265.4,-12.5,24.9,0.8,-0.057,45.834702
CONFIRMED,1.0,0,0,0,0,3.97076603,-1.113e-05,0.775,1.814,349.2,-17.3,23.9,0.778,-0.088,43.044411
CONFIRMED,0.994,0,0,0,0,2.352273912,-8.087e-06,0.095,1.7389,318.6,-18.9,20.4,0.748,-0.048,47.425629
FALSE POSITIVE,0.0,0,0,1,0,22.0425953,-0.0003503,1.191,61.2018,348.0,-6.5,90.4,1.26,-0.343,42.53022
CONFIRMED,1.0,0,0,0,0,23.34036251,-9.674e-05,0.25,2.054,615.1,-40.1,18.2,0.892,-0.145,39.383221
CONFIRMED,1.0,0,0,0,0,15.03366411,-6.423e-05,0.01,3.272,374.9,-19.9,22.2,0.891,-0.039,44.284012
CONFIRMED,0.99,0,0,0,0,106.247882,-0.001904,0.586,13.78,397.4,-18.7,24.0,0.972,-0.09,49.406288
CONFIRMED,1.0,0,0,0,0,8.508333104,-9.705e-06,0.004,3.4559,646.5,-8.2,93.4,1.03,-0.108,43.852051
CONFIRMED,0.996,0,0,0,0,12.94123564,-7.239e-05,0.028,4.636,328.8,-17.6,22.1,0.938,-0.096,50.03735
CONFIRMED,0.997,0,0,0,0,5.349791,-2.509e-05,0.867,4.279,88.8,-4.4,23.3,1.183,-0.097,50.94416
CONFIRMED,0.994,0,0,0,0,5.26211833,-2.75e-05,0.71,3.244,194.5,-10.5,20.3,1.309,-0.277,45.86993
CONFIRMED,0.998,0,0,0,0,12.1628195,-6.256e-05,0.971,2.3161,306.3,-23.2,15.2,1.309,-0.277,45.86993
CONFIRMED,0.995,0,0,0,0,23.5541012,-0.0001812,0.536,7.3,95.2,-3.7,29.9,2.286,-0.688,40.144409
CONFIRMED,1.0,0,0,0,0,41.6977582,-0.0001891,0.018,5.513,684.8,-28.6,27.7,0.87,-0.078,44.115501
CONFIRMED,0.999,0,0,0,0,4.79029482,-1.966e-05,0.46,2.7219,142.0,-7.0,23.1,0.843,-0.033,49.23748
CONFIRMED,0.991,0,0,0,0,38.6715843,-0.0002103,0.773,5.532,599.3,-26.8,25.2,0.913,-0.141,44.160889
CONFIRMED,1.0,0,0,0,0,8.32651854,-4.605e-05,0.782,5.483,267.9,-11.1,27.2,1.0,-0.11,44.327518
CONFIRMED,1.0,0,0,0,0,5.53533152,-1.86e-05,0.051,2.793,260.6,-10.4,27.5,1.1,-0.147,50.59705
CONFIRMED,0.983,0,0,0,0,16.7261969,-0.0001475,0.496,2.708,194.9,-19.5,11.6,1.1,-0.147,50.59705
CONFIRMED,1.0,0,0,0,0,21.58752788,-7.498e-05,0.009,4.4968,336.8,-10.4,34.0,1.191,-0.189,39.949108
CONFIRMED,0.995,0,0,0,0,3.757294695,-6.729e-06,0.586,0.9269,273.3,-16.7,23.4,0.716,-0.021,40.548649
CONFIRMED,1.0,0,0,0,0,3.2828024,-1.281e-05,0.159,3.2532,142.5,-6.3,24.4,1.515,-0.353,42.370499
CONFIRMED,1.0,0,0,0,0,4.64495172,-2.568e-05,0.301,3.366,147.4,-8.6,19.8,1.129,-0.182,40.568909
CONFIRMED,1.0,0,0,0,0,16.48686712,-3.61e-05,1.198,1.431,987.9,-58.0,22.1,1.071,-0.125,46.857479
CONFIRMED,0.992,0,0,0,0,2.685054445,-4.508e-06,0.762,1.0473,252.7,-11.0,28.9,0.829,-0.1,47.810638
CONFIRMED,0.982,0,0,0,0,16.8600805,-0.00013,0.682,5.557,273.4,-14.0,22.4,0.973,-0.134,43.156059
CONFIRMED,1.0,0,0,0,0,1.54320541,-3.838e-06,0.217,2.5779,91.2,-3.0,35.2,1.282,-0.253,50.59848
CONFIRMED,0.993,0,0,0,0,49.5004725,-0.0003399,0.162,5.772,965.2,-35.6,27.8,0.828,-0.065,44.00872
CONFIRMED,1.0,0,0,0,0,6.47539108,-2.105e-05,0.486,2.7048,530.6,-20.8,28.1,0.828,-0.065,44.00872
CONFIRMED,0.999,0,0,0,0,16.85825609,-6.042e-05,0.763,2.0728,759.6,-37.9,21.8,0.828,-0.065,44.00872
FALSE POSITIVE,0.0,0,1,0,0,3.132604547,-1.481e-06,1.251,3.6337,9969.2,-52.0,222.3,1.181,-0.173,47.815521
CONFIRMED,1.0,0,0,0,0,2.949029106,-7.72e-06,0.044,2.0311,358.3,-14.1,29.3,0.807,-0.085,42.286579
CONFIRMED,1.0,0,0,0,0,37.8658964,-0.0002184,0.18,4.782,395.2,-16.2,25.9,1.017,-0.08,47.5299
CONFIRMED,1.0,0,0,0,0,8.30865307,-1.027e-05,0.333,3.2747,836.1,-12.7,74.3,0.849,-0.066,41.241039
CONFIRMED,1.0,0,0,0,0,11.93205399,-4.833e-05,0.123,6.205,178.5,-5.8,32.3,1.391,-0.258,41.305389
CONFIRMED,1.0,0,0,0,0,7.54235832,-3.786e-05,0.318,4.73,132.5,-5.4,25.8,1.391,-0.258,41.305389
CONFIRMED,0.995,0,0,0,0,5.02818253,-2.049e-05,0.3,3.526,181.3,-7.3,26.1,1.515,-0.353,42.370499
CONFIRMED,1.0,0,0,0,0,1.897828815,-6.301e-06,0.227,2.7114,132.4,-5.4,27.2,1.515,-0.353,42.370499
CONFIRMED,0.995,0,0,0,0,10.62788695,-8.221e-05,0.473,4.576,326.7,-16.9,22.6,1.014,-0.115,41.64296
CONFIRMED,1.0,0,0,0,0,1.104462494,-1.552e-06,0.151,1.0458,469.1,-17.0,35.3,0.753,-0.079,45.719528
CONFIRMED,1.0,0,0,0,0,4.89336495,-3.609e-05,0.218,3.485,138.3,-9.8,15.9,1.347,-0.169,39.523453
CONFIRMED,0.999,0,0,0,0,11.17392077,-6.126e-05,0.025,3.307,324.8,-18.3,21.4,0.914,-0.089,43.82135
CONFIRMED,0.995,0,0,0,0,31.0325991,-0.0002042,0.611,3.476,737.4,-49.6,17.6,0.931,-0.086,48.272308
FALSE POSITIVE,0.0,0,1,0,0,0.512407185,-5.22e-07,0.301,1.0579,329.2,-8.8,46.1,0.563,-0.04,42.15419
FALSE POSITIVE,1.0,0,1,0,0,4.150297119,-7.674e-06,0.971,1.2058,593.4,-30.6,24.2,0.858,-0.046,43.37859
CONFIRMED,1.0,0,0,0,0,5.89661966,-4.591e-05,0.039,3.154,144.0,-10.4,15.3,1.087,-0.184,39.098141
CONFIRMED,1.0,0,0,0,0,33.4178173,-0.0001735,0.913,4.645,1166.8,-45.8,28.4,0.744,-0.059,45.198311
