koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_depth_err2,koi_model_snr,koi_srad,koi_srad_err2,dec
CONFIRMED,1.0,0,0,0,0,4.125543472,-3.133e-06,0.597,3.1744,1487.3,-13.3,128.6,1.103,-0.128,49.253979
CONFIRMED,1.0,0,0,0,0,2.816504904,-1.65e-07,0.105,2.50587,16814.0,-11.0,1406.8,0.955,-0.068,49.225288
FALSE POSITIVE,0.0,0,1,1,0,33.93373447,-6.154e-05,0.812,14.561,8503.7,-44.3,236.1,0.705,-0.058,49.360722
CONFIRMED,1.0,0,0,0,0,3.689920099,-8.982e-06,0.151,2.6557,426.7,-13.8,35.6,0.917,-0.098,50.61824
CONFIRMED,1.0,0,0,0,0,4.431238488,-6.106e-06,0.405,3.15,1010.9,-15.2,71.1,1.015,-0.079,51.121738
CONFIRMED,1.0,0,0,0,0,11.37936986,-2.415e-05,0.911,2.6255,1023.5,-29.7,37.9,1.015,-0.079,51.121738
CONFIRMED,1.0,0,0,0,0,26.39432897,-5.724e-05,0.602,3.573,1510.9,-36.3,48.2,0.763,-0.055,51.25032
CONFIRMED,1.0,0,0,0,0,13.57078281,-1.585e-05,0.866,3.3539,511.7,-6.3,88.4,1.012,-0.103,44.337551
CONFIRMED,1.0,0,0,0,0,7.12594387,-1.406e-05,0.898,3.0014,192.4,-4.4,47.1,1.087,-0.142,46.276241
FALSE POSITIVE,0.014,0,1,0,0,7.442652004,-7.02e-07,0.137,2.3078,24446.0,-37.8,835.6,0.956,-0.1,49.733742
CONFIRMED,1.0,0,0,0,0,16.38489988,-5.219e-05,0.001,3.0249,1127.1,-42.0,28.9,0.615,-0.029,49.97575
CONFIRMED,1.0,0,0,0,0,7.8774163,-1.493e-05,0.041,2.0805,1306.1,-37.7,38.7,0.615,-0.029,49.97575
CONFIRMED,1.0,0,0,0,0,36.4454001,-0.0001809,0.028,4.007,1122.3,-53.4,21.7,0.615,-0.029,49.97575
CONFIRMED,1.0,0,0,0,0,3.728732147,-9.36e-07,0.558,2.683,5226.5,-18.5,345.2,0.809,-0.07,50.054119
CONFIRMED,1.0,0,0,0,0,2.243380573,-2.67e-06,0.915,1.1196,821.7,-25.6,38.9,0.564,-0.033,50.149818
FALSE POSITIVE,0.0,0,1,0,0,10.405998015,-2.515e-06,0.324,6.5036,14489.0,-22.4,745.2,0.924,-0.16,50.241001
CONFIRMED,1.0,0,0,0,0,2.337437946,-1.951e-06,0.28,1.9982,971.2,-13.7,82.4,0.765,-0.028,50.23035
CONFIRMED,1.0,0,0,0,0,11.59822233,-1.407e-05,0.679,2.5237,2804.5,-46.3,71.0,0.473,-0.051,50.28722
CONFIRMED,1.0,0,0,0,0,6.575315881,-3.726e-06,0.39,4.3084,2793.3,-14.9,221.1,0.989,-0.151,50.321609
CONFIRMED,1.0,0,0,0,0,7.275040844,-4.677e-06,0.547,7.5377,3001.0,-11.5,312.1,0.867,-0.067,50.49456
CONFIRMED,1.0,0,0,0,0,19.27153892,-4.145e-05,0.031,2.7594,1219.8,-35.3,37.1,0.56,-0.034,50.53191
CONFIRMED,1.0,0,0,0,0,10.06524317,-1.49e-05,0.628,1.369,1053.3,-39.2,30.3,0.56,-0.034,50.53191
CONFIRMED,1.0,0,0,0,0,12.3935651,-3.932e-05,0.883,3.8896,916.6,-29.1,35.8,0.75,-0.065,50.56778
CONFIRMED,0.998,0,0,0,0,43.84439721,-9.613e-05,0.852,6.802,615.2,-7.7,83.7,1.012,-0.103,44.337551
FALSE POSITIVE,0.0,0,1,1,0,3.341913228,-9.953e-06,1.213,3.813,725.3,-21.3,39.0,0.811,-0.071,38.27029
FALSE POSITIVE,0.773,0,0,1,0,1.626630225,-1.015e-06,1.26,2.1145,1620.6,-19.0,103.6,0.973,-0.145,38.31028
CONFIRMED,1.0,0,0,0,0,2.711504086,-3.8e-06,0.023,3.0099,837.5,-14.5,64.5,1.076,-0.118,38.494659
CONFIRMED,1.0,0,0,0,0,7.21203748,-1.553e-05,0.012,4.0491,950.4,-19.5,51.5,1.076,-0.118,38.494659
FALSE POSITIVE,,0,0,0,1,14.1798187,-0.0001643,0.1601,2.505,459.9,-51.9,11.2,0.878,-0.065,51.321671
CONFIRMED,1.0,0,0,0,0,8.47237911,-1.56e-05,0.022,2.7245,1123.5,-26.7,47.6,0.788,-0.066,51.319519
