tfopwg_disp,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
FP,116.110771,-36.098285,-9.231,0.048,-0.048,0.0,11.614,0.052,-0.052,0.0,2459238.831138,0.006715,-0.006715,0,12.6889415,0.0095088,-0.0095088,0,7.9201001,0.5393766,-0.5393766,0,3232.8527885,235.25328,-235.25328,0,14.0608342,15.241591,-15.241591,0,425.1594177,1158.1310368,10.6257,0.006,-0.006,0,368.646,3.784,-3.784,0,7601.0,135.8,-135.8,0,4.31,0.08,-0.08,0,1.53641,0.0479799,-0.0479799,0
FP,124.726411,-37.78325,-11.278,0.045,-0.045,0.0,9.593,0.045,-0.045,0.0,2458518.96536,0.00137,-0.00137,0,1.10422,0.00013,-0.00013,0,2.37,0.062,-0.062,0,14177.7,843.788,-843.788,0,21.0448,5.22012,-5.22012,0,39459.3,3926.0,10.6019,0.006,-0.006,0,406.997,4.7245,-4.7245,0,6995.2,157.0,-157.0,0,4.07,0.55,-0.55,0,1.61,0.07,-0.07,0
FP,111.716019,-50.266567,-8.018,0.049,-0.049,0.0,11.56,0.047,-0.047,0.0,2458492.78078,0.00073,-0.00073,0,4.95912,0.00016,-0.00016,0,2.509,0.13,-0.13,0,7440.0,197.962,-197.962,0,22.9123,3.28055,-3.28055,0,673.55,1419.0,10.6254,0.006,-0.006,0,360.541,2.9645,-2.9645,0,5889.0,124.3,-124.3,0,3.86,0.07,-0.07,0,2.0,0.09,-0.09,0
KP,87.139821,-63.988329,-15.641,0.037,-0.037,0.0,26.046,0.037,-0.037,0.0,2460187.916571,0.000126,-0.000126,0,4.4119378,8e-07,-8e-07,0,3.65,0.011,-0.011,0,15062.0,69.1814,-69.1814,0,15.4706,0.691963,-0.691963,0,653.252,1408.0,9.7109,0.006,-0.006,0,175.631,0.588,-0.588,0,6280.0,,,0,4.32092,,,0,1.21,0.05,-0.05,0
FP,128.381976,-43.828421,-5.814,0.051,-0.051,0.0,4.328,0.047,-0.047,0.0,2458521.29108,0.00241,-0.00241,0,3.28892,0.00066,-0.00066,0,3.793,0.202,-0.202,0,10518.9,530.608,-530.608,0,,,,0,29832.6,3661.0,10.7173,0.013,-0.013,0,906.827,23.8635,-23.8635,0,8734.2,283.6,-283.6,0,4.1,1.45,-1.45,0,,,,0
FP,119.30075,-42.999149,-3.211,0.046,-0.046,0.0,-15.082,0.051,-0.051,0.0,2458492.90429,0.00426,-0.00426,0,1.90879,0.00035,-0.00035,0,1.909,0.231,-0.231,0,618.482,1.43774,-1.43774,0,3.34688,0.217749,-0.217749,0,985.807,1561.0,10.5551,0.006,-0.006,0,235.974,1.579,-1.579,0,6022.6,133.5,-133.5,0,4.52,0.39,-0.39,0,1.22,0.05,-0.05,0
FA,162.96491,-5.788708,-15.787,0.09,-0.09,0.0,-11.849,0.077,-0.077,0.0,2458547.448,0.00834,-0.00834,0,3.09574,0.00677,-0.00677,0,4.475,1.196,-1.196,0,380.0,,,0,3.4262,0.778713,-0.778713,0,18087.9,3230.0,8.72924,0.007,-0.007,0,120.666,1.068,-1.068,0,6084.0,111.0,-111.0,0,4.13,0.3,-0.3,0,1.41,0.05,-0.05,0
FP,120.837688,-51.345626,-23.366,0.042,-0.042,0.0,22.652,0.04,-0.04,0.0,2459303.303969,0.003015,-0.003015,0,1.3214483,2.31e-05,-2.31e-05,0,3.435,0.071,-0.071,0,2180.0,137.946,-137.946,0,21.8839,4.01475,-4.01475,0,35623.2,3827.0,9.697,0.006,-0.006,0,316.398,2.247,-2.247,0,5050.8,86.8,-86.8,0,3.56,0.4,-0.4,0,2.99,0.15,-0.15,0
FP,86.820714,-72.422611,1.128,0.044,-0.044,0.0,11.563,0.047,-0.047,0.0,2458339.72276,0.00592,-0.00592,0,18.0157,0.00015,-0.00015,0,2.524,0.403,-0.403,0,610.0,1.66317,-1.66317,0,21.644,,,0,7.64364,463.0,10.0814,0.006,-0.006,0,692.266,12.113,-12.113,0,4709.0,122.0,-122.0,0,,,,0,7.61,,,0
FP,125.434634,-51.759442,47.228,0.047,-0.047,0.0,-6.325,0.039,-0.039,0.0,2460720.807674,0.00363,-0.00363,0,14.2628757,3.85e-05,-3.85e-05,0,6.9350494,0.466316,-0.466316,0,913.2067174,37.2772746,-37.2772746,0,2.4765813,0.1510812,-0.1510812,0,153.2069421,980.3628831,9.9138,0.006,-0.006,0,105.677,0.2575,-0.2575,0,5690.0,129.0,-129.0,0,4.58,0.08,-0.08,0,0.853898,0.0413895,-0.0413895,0
